countryA,countryB,troopsA,troopsB,modA,modB,winner,gdp_loss_A,gdp_loss_B
CAN,JPN,50409,130249,99.46,51.41,JPN,7140118180944.2,8919277205349.16
GBR,IND,104022,125618,55.82,50.52,GBR,3535126076278.66,4834548782761.04
CHN,USA,121689,24989,68.53,68.33,CHN,10311553028391.36,1464472696777.09
IND,GBR,116948,61086,90.33,99.01,GBR,11162088321494.91,8372676722191.44
GER,RUS,11611,46062,54.32,94.84,RUS,812494180218.65,4446160830535.19
BRA,FRA,136047,40398,77.04,62.53,BRA,8932755822903.78,2021740273538.72
RUS,BRA,41657,80283,92.92,70.51,BRA,5639581146137.38,5147467409421.44
USA,JPN,28462,112696,50.95,91.22,JPN,1178384772689.21,12458802751943.86
IND,CHN,99299,80774,96.98,87.93,IND,11921256305647.73,4678089843115.17
CHN,GER,48547,12834,98.91,56.63,GER,4819945398191.03,1062699449106.47
BRA,FRA,117754,58203,66.11,55.39,FRA,8695168561353.54,3200972810705.0
IND,FRA,170135,55676,88.34,77.19,IND,9253265393530.24,5435885844229.64
CHN,BRA,92273,36230,56.36,55.11,BRA,5776795307341.77,2399696382860.79
FRA,RUS,89397,82652,88.64,91.25,FRA,8427916520683.13,8905215690117.3
FRA,IND,62788,78464,74.08,62.67,FRA,5669335967332.29,4523926929551.4
CAN,JPN,183595,103715,93.01,59.42,CAN,13451491404119.68,3342149467943.94
IND,GBR,171356,163206,60.63,59.28,GBR,13841592799959.43,12011539535555.94
FRA,RUS,97964,18190,83.63,52.26,FRA,11841161122039.28,1382015967499.67
CHN,RUS,76247,99364,89.31,82.09,RUS,9410604176846.5,8197980295724.95
CAN,GBR,23706,145422,60.12,58.22,GBR,1270457020873.98,12309836732120.39
CHN,GBR,20924,44055,90.91,61.67,CHN,2401083384706.33,2811551177479.58
CAN,BRA,25921,184758,97.9,87.57,CAN,2195138786842.47,10796962808471.07
IND,BRA,166504,91572,80.8,52.87,IND,18339570678669.29,3580330814374.65
BRA,FRA,128960,169772,89.24,60.14,BRA,10074605340504.76,13933255861626.26
GER,CHN,27813,82146,76.63,57.47,CHN,1462152108173.47,5294422596165.07
JPN,RUS,114748,117554,79.91,50.24,JPN,9068667799005.74,5400589661210.64
BRA,CAN,118988,170492,50.67,76.97,BRA,3828840262579.65,17050909126249.76
GBR,CAN,136078,35177,76.21,59.5,GBR,11272591007344.1,2389701318041.54
CHN,FRA,143140,103386,78.78,81.65,CHN,12139685003272.6,11583436931071.42
GBR,RUS,49927,180723,83.5,75.09,RUS,4130716338950.69,19961145283357.24
BRA,CHN,115148,64339,58.47,83.39,CHN,7431028068366.49,6176940751313.89
CAN,BRA,40539,59282,62.07,99.08,BRA,3712193654231.03,8638367043504.18
JPN,FRA,21683,182142,87.8,60.99,FRA,1681558947268.42,10780509461575.23
JPN,GER,133031,102683,58.38,83.29,GER,7166829024303.43,11460712726613.51
USA,CHN,95151,111038,70.8,91.68,CHN,5214483023350.89,14317642527978.5
JPN,USA,176746,166478,62.52,97.87,JPN,7563879918377.43,8882533075485.17
GER,CHN,62703,68009,77.26,81.12,CHN,3823125794171.68,7530756359422.69
JPN,RUS,68810,11066,99.34,56.54,RUS,4871472250224.45,568558145860.42
BRA,USA,96111,62940,92.6,52.69,BRA,8299031756731.74,2978939908299.98
USA,FRA,95977,60469,63.47,63.93,USA,4467358499897.37,4954087556410.54
BRA,RUS,152189,124972,68.43,96.41,BRA,10595057272928.04,8992036204754.57
BRA,USA,13665,164422,95.93,76.85,USA,1030778987307.83,6716021056744.98
RUS,JPN,54390,145186,94.91,78.97,RUS,4773570956953.67,8841036624377.48
USA,GER,84884,121138,58.03,80.53,GER,3099421202605.27,11203332908786.1
BRA,CAN,73887,190271,91.46,66.61,CAN,4486965370438.89,18420898297172.94
RUS,IND,189338,134648,64.88,59.08,RUS,13686166745119.69,7125416908542.77
RUS,CAN,65541,75133,77.19,97.71,CAN,5389612324927.39,9525774482830.96
USA,CAN,104319,31245,50.25,87.77,CAN,3518886235439.32,1921117348749.15
GBR,USA,17882,118574,99.93,75.55,USA,1420276443036.79,12111186360531.42
CAN,RUS,80825,53266,88.05,68.84,CAN,5134793559562.24,4639811311574.45
GER,FRA,23910,99762,62.09,74.14,FRA,1926064231309.46,7012678754960.18
CAN,BRA,50566,153667,84.19,51.68,BRA,3681621377798.19,11078041966670.28
JPN,IND,107519,103254,64.67,62.37,IND,6298941506262.72,3464104648828.87
GER,GBR,177248,49218,54.47,62.54,GER,11247297942239.04,3957823569152.03
JPN,CAN,93081,166215,71.27,72.27,CAN,5476237971881.42,6428809804666.92
BRA,FRA,171361,187250,80.69,61.81,FRA,12136922887407.63,15799243998608.38
CHN,BRA,191483,17787,54.49,59.27,CHN,13541904223854.5,713518774735.79
USA,BRA,119337,55286,75.92,88.28,USA,11728585043729.89,2627058236323.9
GER,IND,25362,10081,75.74,94.68,IND,2121878839438.97,771922887484.9
GER,IND,23783,13005,81.43,53.36,GER,2050925512080.77,470981764142.16
BRA,IND,185234,83944,62.23,60.48,BRA,7850360594962.68,5848004401751.18
GBR,FRA,176821,141406,51.03,88.68,FRA,8781558770279.56,12193907603300.52
RUS,FRA,144626,133438,66.24,90.79,FRA,7418690335369.21,7629375246797.44
BRA,JPN,199640,86639,69.93,75.01,BRA,17168111836374.36,9202936466999.41
FRA,CAN,28773,68217,81.79,84.74,FRA,2654334369573.47,5016711325779.98
RUS,CHN,187367,117248,96.51,53.88,CHN,15870462657265.88,4945462237626.23
USA,BRA,171403,120257,60.17,92.48,BRA,10675131030852.01,13323496216758.73
RUS,USA,55640,35169,84.37,91.64,RUS,4323676591239.79,2879539841491.44
GBR,USA,56969,119247,54.87,84.67,USA,2020689992014.28,6517434830415.36
RUS,GBR,52986,164524,59.53,95.82,GBR,4039953687489.62,17062673777576.64
USA,BRA,112017,167326,75.46,52.38,BRA,11818626284640.39,4648526339938.16
GBR,CHN,126180,67110,85.42,61.55,GBR,15416494605035.54,4655797723265.4
CAN,CHN,17585,67253,92.93,68.13,CHN,2106728838760.04,6265809419986.22
GER,USA,14122,85210,87.2,57.93,GER,1627421582078.22,3761443976556.03
GER,CHN,26838,92702,50.77,90.74,CHN,757176188625.21,11375590894623.97
JPN,GER,158373,102246,84.2,87.86,JPN,17093329002278.01,6692913629956.65
CAN,JPN,33107,161042,91.23,88.66,JPN,2426667981867.33,10030025482578.35
CAN,FRA,198429,144866,76.28,64.56,FRA,9653742770600.36,11367768041866.03
RUS,CHN,112678,39184,98.28,88.13,CHN,11316472580141.16,1952960491923.42
GER,CAN,196283,121178,50.22,56.15,GER,10550242465658.2,3678746662353.44
USA,BRA,76025,48365,90.93,55.34,USA,6808161180587.17,2558709192325.5
IND,USA,76520,41217,66.74,79.2,IND,5887292704213.01,1743549754987.37
IND,CAN,27344,15051,82.52,52.43,IND,2739879327265.52,786554660667.06
GBR,CHN,67202,92662,84.67,96.93,CHN,3625345054806.67,10324119275680.46
GER,IND,110086,153947,65.31,66.44,GER,8030668747335.01,7448575596097.99
GER,CAN,24959,79891,99.77,73.85,CAN,1380690659429.49,8253463903369.91
IND,GBR,179823,161064,55.16,90.66,GBR,9411259045285.24,10225676925972.9
GER,RUS,142941,127959,57.85,70.0,RUS,4962016831980.43,6606098768642.81
RUS,USA,54264,192734,94.61,71.53,USA,4875226375443.42,19481442891639.76
FRA,BRA,40268,116589,55.96,67.4,BRA,1522014502036.19,9331433198586.61
CHN,GER,94564,68475,69.06,67.59,CHN,8062061309458.09,4760490926144.14
CAN,IND,180678,41074,86.66,73.4,CAN,21913281625426.99,2502698001648.18
JPN,FRA,154622,78052,89.57,97.3,JPN,9273264999364.99,9637620826922.06
GBR,GER,146774,32622,97.73,96.8,GBR,17739501117143.97,3436799300538.12
FRA,IND,88563,124778,89.48,77.26,IND,5120457096912.67,8116274256832.9
IND,GER,120164,123707,92.23,72.8,IND,10347770102326.24,11941210072100.19
CAN,BRA,34459,102543,97.47,90.41,CAN,3780307799012.66,12001717444455.52
GER,RUS,66782,50982,77.68,84.05,RUS,5383639015152.5,6173870213637.78
JPN,IND,147104,186150,67.17,94.08,JPN,5505340772070.41,26179240822679.6
GER,USA,11825,127993,88.08,86.53,USA,898492071573.07,5665372743585.15
USA,GBR,136187,191945,58.18,97.62,GBR,7686550796830.78,15366718624593.22
USA,CAN,189173,73798,53.41,94.31,USA,9006710884261.07,4820863952440.18
JPN,BRA,70109,199856,89.27,92.76,BRA,7294142278705.44,13229643674123.06
JPN,IND,22470,162908,97.53,69.58,JPN,3042291456680.74,15469800176159.12
IND,BRA,13770,78083,72.12,69.31,BRA,1159633572974.13,7982292919970.05
JPN,RUS,168340,113227,58.06,87.06,JPN,10652486654602.32,14195555307644.07
RUS,CAN,141101,38130,74.85,54.19,RUS,6855143805877.14,2472109520123.51
GER,IND,171155,190047,69.67,66.11,IND,10121377703608.98,13254636182241.42
FRA,CHN,18958,75995,68.62,96.61,CHN,1363788235784.7,8355172748222.06
BRA,GBR,123806,77772,81.4,72.51,BRA,14452759615911.52,7644487027165.2
JPN,CHN,18806,161902,58.74,63.49,CHN,888965353277.74,5212298799103.98
GBR,GER,42162,76116,69.02,73.82,GER,2438619111168.74,5215942996762.57
USA,CHN,84732,155511,93.43,64.43,CHN,8625863906379.29,10085337648765.99
RUS,GER,175961,145787,86.48,88.41,GER,21300188037554.6,18347664267950.26
CAN,IND,37702,167179,52.78,92.53,IND,2075852681180.86,10396421071881.29
BRA,RUS,176849,53394,75.7,89.13,BRA,9028091803064.76,5922093137376.89
FRA,CHN,194043,103103,54.56,57.45,FRA,6093117301288.22,8435161204653.57
BRA,GER,17739,48665,97.87,66.8,GER,2411571492968.27,4109262528636.27
JPN,CAN,34599,173497,62.23,60.7,CAN,2519081039608.73,5373857923646.33
IND,RUS,46827,182504,96.63,52.14,RUS,3260329559772.51,11032996370557.83
USA,GER,86821,140753,91.7,86.96,GER,9748889534907.95,8684455781036.95
USA,CAN,106683,185021,77.57,71.42,CAN,10092252638079.18,14602940860064.71
CAN,CHN,78446,94360,66.82,63.83,CAN,6667697332131.4,6451720371162.92
IND,BRA,93890,118889,92.9,65.38,IND,12142724713440.39,11324939910369.7
GER,GBR,33039,98604,57.64,56.75,GER,1241691791904.82,3862755556161.43
CHN,FRA,136021,144741,59.0,91.34,FRA,11690464133016.13,7277913483393.28
RUS,BRA,186001,89918,61.24,57.2,BRA,17068143374977.7,5715262234963.36
USA,CAN,107367,156508,79.88,66.92,CAN,4412749099598.0,8838430670771.11
GBR,IND,53884,177102,65.72,50.37,IND,2093838703792.66,11152564254025.43
USA,CAN,166218,14638,99.46,71.82,USA,15439993419057.43,1569831110426.2
BRA,CAN,55819,67000,59.76,67.74,CAN,1782550774542.61,4090919049968.02
USA,GBR,93162,19251,90.28,85.96,USA,10386367088792.06,1078628224795.34
USA,IND,172380,150020,54.79,85.77,USA,10868660229684.14,13562823231566.74
CHN,RUS,154126,62647,67.67,51.93,CHN,13307270083382.81,2752914080219.99
CHN,CAN,89606,98414,62.19,55.79,CAN,8349821019838.12,7108870902554.14
FRA,CHN,117789,67245,98.84,95.23,FRA,16688517080908.63,6623746184667.56
GER,FRA,62018,160170,51.29,89.59,FRA,2544071180651.49,20206921617296.36
GBR,FRA,36250,148480,86.08,69.47,FRA,2797440146022.88,13803957965723.97
USA,FRA,155485,79069,62.39,58.32,USA,12377013577502.5,6520779718275.52
USA,GBR,87391,79676,90.56,63.04,GBR,7029134997136.68,4013410726389.07
RUS,GER,48921,73982,65.56,82.9,RUS,3844405211600.92,8603440692532.44
CHN,FRA,81123,112346,59.36,97.27,CHN,6831806962544.06,14932914746598.13
GBR,IND,84363,102154,84.65,80.79,IND,6469321753354.81,9300881390989.98
CAN,JPN,166857,96190,62.88,51.32,CAN,11126724150366.18,6962901783023.9
FRA,GER,197937,62203,74.28,82.54,FRA,19722473262879.93,2845442673874.21
GER,RUS,107400,64617,56.58,97.24,GER,5940649457869.56,8077868881740.46
IND,GER,106847,106311,86.23,67.93,IND,7270589792986.69,4661834719442.96
GER,USA,16861,116037,70.34,96.68,USA,899213685908.43,9433460939092.01
BRA,GBR,86340,90212,57.03,83.53,GBR,2815888899255.28,9265526464919.75
USA,GER,155051,16005,87.08,59.49,USA,11211389796130.2,675736796497.96
FRA,JPN,123049,189307,55.17,57.27,JPN,8050063885824.38,7926784681140.73
BRA,CAN,10357,21973,78.74,58.81,BRA,455746887604.75,920208036053.54
GBR,RUS,124604,56976,80.37,84.96,GBR,7754490677864.84,4628912078213.18
IND,CHN,57201,199938,96.52,79.48,CHN,3376590776284.18,9232017786246.84
CHN,GBR,195326,27804,57.55,72.78,CHN,10167075558653.72,2805622529048.23
FRA,JPN,92160,98613,82.67,63.17,JPN,4520813715902.62,7660151625097.39
FRA,JPN,20796,57276,69.04,95.36,JPN,1788984138597.89,5535720392301.39
USA,IND,33238,34680,70.04,60.69,USA,3324459780675.66,1229546661580.25
JPN,IND,104176,70967,75.09,64.18,IND,5415914660324.06,2843615964511.3
FRA,RUS,192050,26862,61.69,52.75,FRA,8892405778975.51,847945181045.08
RUS,CHN,50883,97438,73.06,63.77,CHN,2454105730136.49,3198270640007.16
IND,GBR,95478,180625,84.34,96.14,GBR,5535763877249.71,20267903264697.1
IND,GER,79396,149956,72.86,59.38,GER,4694464233985.32,8994795100200.98
RUS,FRA,14447,70313,52.13,60.2,FRA,588265382310.95,3733523199779.72
CAN,RUS,30523,174033,62.89,80.0,CAN,1699200864307.5,11799738363391.49
RUS,CHN,190361,41562,67.57,78.35,RUS,13184111915987.76,3130549759843.24
RUS,CAN,145921,167137,67.74,58.8,CAN,12133086719629.03,9581241506048.83
IND,USA,165790,173156,54.05,57.71,IND,12406412405918.06,6386550330014.5
GER,CAN,115471,124746,72.48,55.85,CAN,8029207465023.77,7186620415183.43
IND,USA,97862,61038,84.6,93.05,USA,11664715773303.28,3112712096567.95
JPN,GER,70977,162029,52.43,82.72,JPN,4390556010208.4,19282644012226.28
USA,GER,98325,78116,87.55,97.67,USA,10578423452951.84,9264202336835.82
BRA,GER,168207,102080,97.76,58.29,BRA,16808872449827.57,3031488709888.91
GER,RUS,171334,72278,50.47,73.03,GER,8847473384334.6,4163828499682.21
CHN,IND,138422,120549,59.68,87.15,IND,8525814700342.85,15577658270856.35
BRA,USA,44787,173526,77.17,60.68,USA,3428681302812.9,5774761810763.1
USA,GBR,25689,121937,60.9,84.23,USA,1500188120503.2,6642659892866.84
JPN,CHN,180932,63796,88.23,73.69,JPN,20346901987153.11,4593551513246.65
JPN,BRA,127537,152349,65.61,71.54,BRA,7427486340247.79,9301972155725.15
CHN,IND,60344,108524,64.68,82.25,IND,2758476084372.21,13257301638308.67
GER,BRA,77891,76411,50.05,73.38,BRA,2477543159217.63,5829407965893.53
CAN,GER,192730,76732,63.51,91.0,GER,16885462512993.62,10063385631048.74
RUS,CAN,107464,192933,60.88,96.53,CAN,8917055764957.12,16329087537943.34
GER,FRA,75869,190559,67.16,79.44,FRA,3789244341297.84,11688360592837.76
CAN,USA,176402,182256,57.38,65.03,USA,6257745628841.26,9344404590583.31
JPN,BRA,90312,33398,79.73,88.86,BRA,10516466028890.09,3373178813793.62
IND,USA,37014,89906,61.94,58.52,USA,2251312004510.82,5808993386959.74
USA,IND,44563,38517,91.59,54.75,USA,2421818818720.62,2221821557616.85
CHN,FRA,156342,104395,64.23,75.94,FRA,7182777924709.66,5462534958553.06
USA,JPN,172351,34564,60.54,82.34,JPN,12560896625360.26,2172682115586.61
GBR,CAN,108557,135570,52.84,91.75,CAN,3334365160840.89,9815454218339.41
GBR,BRA,144729,121554,87.0,97.76,GBR,11747974955037.89,16235230834020.26
GER,CAN,99422,17111,75.41,93.67,CAN,6954510648855.9,2111335509414.78
JPN,RUS,117919,162045,55.69,99.43,RUS,7786121816397.98,11360052901183.84
JPN,GBR,142099,110190,61.07,73.78,JPN,6069092072995.36,5255681384419.11
RUS,JPN,155271,141382,99.94,65.83,RUS,23023900849224.86,5603958844748.72
RUS,USA,126854,159060,90.3,72.99,USA,7506285766423.64,6589734222916.67
RUS,JPN,186026,163115,67.49,82.21,JPN,13790583671062.36,19907446480419.84
IND,BRA,89317,194206,77.13,75.36,IND,5704646182054.89,19191981525296.61
BRA,USA,25120,100480,70.8,81.71,USA,1125588324011.49,4243885378228.56
FRA,GER,197884,111850,51.82,94.34,FRA,10652967036303.25,5345657614328.75
BRA,USA,99825,196398,88.93,58.29,USA,5943821955206.6,13622385767069.57
USA,RUS,15983,140874,85.85,56.01,RUS,1618905154978.98,6401595854031.67
BRA,GBR,76629,99937,70.44,74.93,GBR,2873931752846.78,4484878445164.38
IND,CHN,80325,158453,92.29,99.09,IND,7490645561745.14,15135878188881.08
USA,CHN,143984,43264,76.74,52.95,USA,7943965146248.09,1188617711797.86
BRA,FRA,57879,163141,53.26,99.33,FRA,4469840126592.46,14987176622588.6
IND,JPN,162945,184036,62.97,98.39,IND,12420901946812.42,13354910967180.38
FRA,JPN,24332,118841,73.09,64.63,JPN,2232384310137.36,5874781698749.43
BRA,JPN,157636,15910,55.17,94.55,BRA,10483130443806.29,1182722244075.55
IND,GER,87795,81020,78.55,50.39,IND,8040777155942.49,3297392090942.4
RUS,IND,117716,187237,56.03,72.7,IND,4208207389034.33,7079181547296.86
JPN,USA,161598,42821,60.03,70.11,USA,14525034309527.93,3212773589671.4
RUS,CHN,193847,124293,94.7,95.13,RUS,21246120144125.1,12390622447837.22
JPN,GBR,96649,185464,99.99,73.61,JPN,13504261793143.06,15711851102059.78
CHN,FRA,157078,189675,77.51,70.9,FRA,12221874952385.85,8874136363770.09
CHN,USA,31643,141065,80.98,81.98,USA,2014072200495.39,17286773538941.25
CHN,USA,73128,42996,89.87,68.79,CHN,6159590571625.68,1880571485215.67
FRA,CAN,52523,100890,84.81,76.83,CAN,4005140918286.48,10166097885538.54
RUS,CHN,80220,105765,59.12,97.78,RUS,2447129952445.85,7449624836904.67
JPN,GER,62784,35044,70.58,60.13,GER,5206760974971.48,1978762412137.49
IND,GBR,97893,52809,76.76,72.95,IND,9299506411389.12,3174980848803.7
USA,BRA,69701,174371,67.99,50.77,BRA,2563204104673.99,7150343777363.24
IND,JPN,159018,89247,58.81,92.11,IND,6975392934179.64,8109828288187.35
USA,FRA,154199,92481,86.81,54.6,USA,15586384126632.07,3734783189661.26
GBR,USA,126101,42857,59.94,54.74,GBR,6212527302778.95,2455831774917.2
IND,GBR,119002,48503,63.02,94.14,GBR,10753898560630.67,3427740947689.52
BRA,RUS,170476,167054,64.33,70.46,BRA,6717748139781.1,17338339146139.43
BRA,GBR,27401,111449,58.09,84.36,GBR,2273079712176.66,6952209852994.61
GER,FRA,156500,63262,92.48,92.89,GER,20463869171546.48,7431620393641.92
RUS,CHN,111958,164952,80.53,68.72,CHN,13125283212672.6,10992850839483.28
USA,BRA,122046,108074,91.74,63.08,BRA,6462747523023.1,3667006306656.42
USA,IND,74372,17559,74.69,58.48,USA,4290366857850.94,670181751214.64
RUS,USA,21971,46549,75.98,80.36,USA,1254190367087.69,5343518761501.11
FRA,RUS,98018,128755,80.81,62.61,RUS,10972306583787.01,10643896706931.42
GER,CAN,134768,128193,68.55,81.71,CAN,12075438545510.75,6747594881815.4
FRA,GER,26565,45159,74.83,65.86,FRA,1309775872839.46,1638848579890.28
FRA,GER,16829,191442,77.35,67.39,GER,834980905615.17,8420640342854.63
FRA,IND,86023,69289,97.68,62.46,IND,8185117001189.86,4690696556308.89
RUS,JPN,176507,88740,94.15,70.92,RUS,11189099314093.33,7134385434860.31
FRA,GBR,91823,12252,56.46,58.11,FRA,5059592223767.32,625717242915.7
BRA,GER,48941,150938,52.06,65.99,GER,3426376363348.66,7777405990233.99
CHN,CAN,183531,125463,84.02,88.89,CAN,15418346347660.12,7884104511174.19
GBR,FRA,189048,179069,52.46,60.78,GBR,12143368280182.4,10218668215588.14
USA,FRA,121539,137661,53.02,97.36,FRA,4833237937414.74,7003403355655.83
USA,GBR,19176,135645,57.96,74.65,GBR,851174299341.88,5150837849605.75
GBR,GER,61516,17553,67.59,55.35,GBR,4547491743797.1,1260765804524.51
RUS,CHN,156144,173903,71.75,97.15,CHN,15151679064301.21,17408121619238.27
IND,RUS,107368,77323,75.97,72.83,IND,8410382852189.43,7215447014173.02
RUS,USA,160761,129744,99.61,77.85,RUS,11182354595406.96,6200869927832.5
USA,RUS,159671,54810,69.26,59.26,USA,7938554702181.22,4272233467341.48
USA,RUS,135670,116373,62.14,66.67,USA,9416676171353.6,11037685164488.88
GBR,JPN,92045,68719,78.76,85.18,JPN,4374423128626.79,6048971015721.52
FRA,JPN,176460,152798,60.76,56.2,FRA,6062636614462.98,5198896229864.22
RUS,CHN,128903,188495,97.03,78.52,RUS,7539186298378.97,9224830007221.81
JPN,FRA,60603,141164,62.96,84.68,FRA,3404945152988.19,8297717699870.58
GBR,FRA,84736,39995,99.5,50.09,GBR,7203155151337.73,1372864587588.37
BRA,RUS,35789,142749,70.93,91.88,RUS,1274767313092.95,18950352714886.83
USA,FRA,98623,103778,90.63,52.82,USA,5914439484454.17,7127185259760.94
GBR,FRA,62282,31892,82.41,62.35,GBR,4350203127999.43,1626743245364.09
RUS,FRA,43464,163186,96.67,98.18,FRA,3907573166797.19,21093076925186.73
USA,IND,51994,177704,81.27,54.05,IND,3812767484114.95,12219193442671.01
IND,RUS,117309,37057,79.06,91.3,IND,7601592472742.1,2893527021426.19
GBR,IND,133189,126089,82.64,82.6,GBR,14440434310684.56,5519762475052.83
GER,BRA,101123,120452,89.32,79.92,BRA,8274079623018.13,4897380541335.04
USA,RUS,35594,70753,94.94,79.08,RUS,3867596164263.69,4619725014765.22
RUS,GBR,193635,185103,63.34,58.32,GBR,16343014945125.44,5887951949748.71
CHN,GBR,128406,191121,60.04,83.44,GBR,10437248112366.78,9904817866735.66
JPN,USA,115021,70275,51.72,97.58,USA,8072342906091.76,5173603701653.67
CAN,BRA,38386,188953,68.5,53.85,BRA,2615517489488.24,6909346381475.52
FRA,USA,76652,193937,92.31,66.62,USA,8217147498575.74,8330591565311.37
CAN,BRA,104835,127819,53.49,73.61,CAN,4568614240724.88,7171070611468.92
RUS,BRA,108123,191756,76.93,61.61,RUS,11327098187418.92,14613833525881.62
BRA,CAN,27540,196759,84.74,87.04,CAN,1664667946908.69,16175164238005.84
BRA,JPN,123483,85705,91.84,84.43,JPN,14603867869638.7,8417120065337.24
CHN,FRA,43756,66438,79.17,55.89,FRA,3359565264811.1,5305195627133.24
FRA,JPN,184498,110102,59.32,78.47,FRA,8741672970123.96,4331727053127.63
GER,RUS,146659,67314,98.23,68.44,GER,12672221635471.74,6686220853424.58
CHN,BRA,99792,191575,54.73,61.42,BRA,5943989968322.1,9167641765167.09
CAN,IND,59039,40740,88.45,92.41,CAN,7467371308786.78,2964946685706.33
CHN,FRA,151341,187248,54.33,52.73,FRA,4913027099804.74,11152101294077.35
CAN,JPN,16088,151102,57.17,73.37,JPN,1305587497593.33,9543676450774.02
USA,BRA,110649,148123,94.91,73.77,USA,13817285178447.16,6342304370782.97
BRA,IND,52044,66010,87.65,78.51,BRA,4960207393929.19,6277950248464.49
USA,GER,168153,135871,68.28,59.88,GER,7236865957075.4,5558362062783.42
JPN,GER,151615,118159,81.94,93.56,JPN,16304316344824.02,15801652282945.08
FRA,CAN,13005,20589,72.86,98.27,CAN,1128213005801.44,3010217307527.65
GER,IND,47203,21395,53.33,77.45,GER,2510439716668.68,1128783771133.19
CAN,RUS,26220,153905,86.06,62.81,RUS,3127068540439.17,12118379692892.12
GER,JPN,118991,76134,88.16,93.84,JPN,12215799895788.29,10658355619044.39
CAN,USA,42696,159500,94.12,99.41,USA,3169060628011.14,23074887837919.62
RUS,CAN,56381,157714,77.03,87.09,RUS,2361014248009.43,14627605094313.82
CHN,USA,189056,96491,83.66,66.69,USA,19917423603588.07,5225009525049.67
JPN,CHN,141148,181843,71.9,61.8,JPN,7667179401353.3,5750118343938.23
BRA,JPN,114056,131656,65.95,57.83,JPN,5870659298889.76,10645875045471.18
